,Enderecos,urls
20,"Mantuano Marcenaria
4,7
(6) · Marceneiro
Mais de 7 anos no mercado · Rua Pais Barreto, 530 · (11) 2635-2448","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
21,"Marcenaria Pontual
5,0
(8) · Loja de marcenaria
R. Cel. Diogo, 1132 · (11) 96762-0338
Fechado ⋅ Abre às 08:00
""Marcenaria com móveis planejados na medida certa.""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
22,"Jeibox Móveis Planejados
4,7
(55) · Loja de móveis
Guarulhos - SP · (11) 98612-5812
Fechado ⋅ Abre às 09:00
Compras na loja·
Retirada na loja·
Entrega sem contato","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
23,"Mia Casa Móveis Planejados
5,0
(35) · Marceneiro
São Paulo - SP · (11) 93226-5560
Fechado ⋅ Abre às 09:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
24,"Marcenaria Unis
5,0
(5) · Marceneiro
Mais de 10 anos no mercado · Rua Cláudia Muzio, 95 · (11) 5621-5075
Fechado ⋅ Abre às 08:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
25,"Fábrica de Quiosque Para Shopping | Projetos Para Lojas Comerciais | Marcenaria Marckenna | São Paulo
4,9
(10) · Marceneiro
Mais de 3 anos no mercado · Rua Carlos Belmiro Correia, 1259 · (11) 3857-5202
Fechado ⋅ Abre às 08:00
Estimativas on-line·
Serviços indisponíveis no local","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
26,"Marcenaria Brito - MB Planejados ""moveis sob medida"" São Paulo
4,3
(17) · Marceneiro
Mais de 30 anos no mercado · Rua: Coari, 87, Av. Pompéia · (11) 95028-1706
Fechado ⋅ Abre às 09:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
27,"Marcenaria Imaginarium Móveis sob Medida
4,6
(63) · Marceneiro
Mais de 30 anos no mercado · R. Eng. Cestari, 594/600
Fechado ⋅ Abre às 07:45
Serviços no local","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
28,"O CORTE - SERVIÇOS DE PLANOS DE CORTE
4,5
(137) · Marceneiro
Mais de 5 anos no mercado · R. da Alfândega, 69 · (11) 2638-0993
Fechado ⋅ Abre às 08:30
""... quer gastar absurdos com marcenaria de lojas convencionais.""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
29,"Marcenaria Paraíso
4,0
(7) · Marceneiro
Mais de 7 anos no mercado · R. Abílio Soares, 19 · (11) 3251-2648
Fechado ⋅ Abre às 08:00
""Uma verdadeira marcenaria.""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=40&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAO"
